DEPTH,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
888.5,4.5,2.71,6.9574,6.9423,16.4346,61.5969,19.4215,2.429,0.0077,6.7507
888,4.5,2.71,7.0301,6.9413,16.6997,65.9643,18.9267,2.4244,0.0016,6.757
887.5,4.5,2.71,7.1028,6.9399,16.3491,66.5365,18.598,2.4304,0.0223,6.7592
887,4.5,2.71,7.1755,6.9395,16.8347,62.3399,18.7465,2.4221,0.0416,6.7593
886.5,4.5,2.71,7.2482,6.9388,18.5051,58.7349,19.4783,2.3936,0.0399,6.7614
886,4.5,2.71,7.3209,6.9391,20.1837,58.2388,19.8224,2.3649,0.0276,6.7623
885.5,4.5,2.71,7.3937,6.9398,20.7186,62.9045,19.4274,2.3557,0.0159,6.7614
885,4.5,2.71,7.4664,6.9402,20.0187,65.758,19.2546,2.3677,0.0165,6.7602
884.5,4.5,2.71,7.5391,6.9404,19.1379,61.4192,19.2889,2.3827,0.0291,6.7601
884,4.5,2.71,7.6119,6.9413,19.2186,55.8933,19.1241,2.3814,0.0287,6.7631
883.5,4.5,2.71,7.6847,6.9413,20.0625,51.3822,19.1631,2.3669,0.012,6.7641
883,4.5,2.71,7.7575,6.9403,20.558,46.9979,19.6802,2.3585,0,6.7625
882.5,4.5,2.71,7.8303,6.9407,20.3854,45.5109,20.4109,2.3614,0.0112,6.7638
882,4.5,2.71,7.9033,6.9413,20.2643,47.9758,20.7023,2.3635,0.0279,6.7722
881.5,4.5,2.71,7.9768,6.9402,20.5663,52.1478,20.3759,2.3583,0.0285,6.7994
881,4.5,2.71,8.0512,6.9399,20.8648,57.459,20.2352,2.3532,0.0235,6.8492
880.5,4.5,2.71,8.1264,6.9402,20.7828,58.5643,20.5095,2.3546,0.0156,6.893
880,4.5,2.71,8.2019,6.9405,20.1981,54.4336,20.7388,2.3646,0.0122,6.9078
879.5,4.5,2.71,8.2774,6.9419,19.146,52.741,20.6756,2.3826,0.0252,6.9064
879,4.5,2.71,8.3527,6.9422,18.0993,58.238,20.1555,2.4005,0.044,6.8951
878.5,4.5,2.71,8.4274,6.9415,17.4879,68.4621,19.784,2.411,0.0458,6.863
878,4.5,2.71,8.5013,6.9411,17.0226,73.484,19.8094,2.4189,0.0377,6.8185
877.5,4.5,2.71,8.5745,6.9405,16.464,70.6926,19.8236,2.4285,0.0431,6.7878
877,4.5,2.71,8.6476,6.9401,16.1683,64.5023,20.1711,2.4335,0.0484,6.7769
876.5,4.5,2.71,8.7205,6.9406,16.0088,59.8764,20.6789,2.4362,0.0336,6.7726
876,4.5,2.71,8.7935,6.9414,15.4582,61.1837,20.5572,2.4457,0.0307,6.7723
875.5,4.5,2.71,8.8666,6.9418,14.6871,68.143,20.2733,2.4589,0.042,6.7777
875,4.5,2.71,8.9397,6.9406,13.7086,79.1164,20.0303,2.4756,0.0395,6.7788
874.5,4.5,2.71,9.0127,6.94,12.1423,91.6659,19.6601,2.5024,0.0375,6.7753
874,4.5,2.71,9.0856,6.9405,10.6649,99.2407,19.6449,2.5276,0.0457,6.768
873.5,4.5,2.71,9.1582,6.9401,10.4611,94.8734,19.5466,2.5311,0.0488,6.7555
873,4.5,2.71,9.2307,6.9389,11.5715,83.244,19.3285,2.5121,0.0463,6.75
872.5,4.5,2.71,9.3033,6.9383,13.1941,74.5971,19.1832,2.4844,0.0455,6.7538
872,4.5,2.71,9.3759,6.9386,14.7119,73.2726,19.155,2.4584,0.0345,6.7583
871.5,4.5,2.71,9.4487,6.9386,15.8368,78.1417,19.5018,2.4392,0.0173,6.7631
871,4.5,2.71,9.5215,6.939,16.5221,80.5772,20.0315,2.4275,0.0092,6.768
870.5,4.5,2.71,9.5944,6.9398,16.7563,76.5322,19.952,2.4235,0.0137,6.7706
870,4.5,2.71,9.6673,6.9401,16.5224,72.3503,19.6318,2.4275,0.0228,6.7696
869.5,4.5,2.71,9.7402,6.9403,15.9837,70.8354,19.7296,2.4367,0.0307,6.768
869,4.5,2.71,9.8131,6.9408,15.2597,73.3618,19.8372,2.4491,0.0341,6.7679
868.5,4.5,2.71,9.886,6.9422,14.4244,78.9763,19.9721,2.4633,0.0325,6.7687
868,4.5,2.71,9.9589,6.9424,13.6628,82.9655,20.2498,2.4764,0.0309,6.7677
867.5,4.5,2.71,10.0317,6.9401,13.0719,83.7544,20.3052,2.4865,0.0323,6.7654
867,4.5,2.71,10.1045,6.9386,12.9175,80.089,19.9208,2.4891,0.0419,6.7658
866.5,4.5,2.71,10.1775,6.938,13.8402,72.4013,19.3325,2.4733,0.0519,6.7722
866,4.5,2.71,10.2504,6.9388,16.0263,64.3211,19.0644,2.436,0.046,6.7748
865.5,4.5,2.71,10.3234,6.9405,18.4354,62.1102,19.1858,2.3948,0.0211,6.7716
865,4.5,2.71,10.3963,6.9407,19.35,69.9573,19.8047,2.3791,-0.006,6.7691
864.5,4.5,2.71,10.4691,6.9408,17.9733,82.4523,20.4005,2.4027,-0.0032,6.7678
864,4.5,2.71,10.542,6.9407,15.2522,90.9417,20.3348,2.4492,0.0187,6.7672
863.5,4.5,2.71,10.6148,6.9391,12.7896,91.2026,19.9026,2.4913,0.0303,6.766
863,4.5,2.71,10.6876,6.9389,11.4889,89.4689,19.7124,2.5135,0.0326,6.7651
862.5,4.5,2.71,10.7604,6.9405,11.3995,92.0535,19.7967,2.5151,0.0357,6.7649
862,4.5,2.71,10.8333,6.9411,12.0713,93.6064,19.7689,2.5036,0.0375,6.7652
861.5,4.5,2.71,10.9061,6.9406,12.8806,90.5562,19.7428,2.4897,0.0348,6.7646
861,4.5,2.71,10.9789,6.9407,13.4312,83.8478,19.9148,2.4803,0.0343,6.7639
860.5,4.5,2.71,11.0517,6.9415,13.7901,76.9407,20.0399,2.4742,0.0307,6.7637
860,4.5,2.71,11.1245,6.9407,14.1351,76.4352,20.01,2.4683,0.0221,6.7637
859.5,4.5,2.71,11.1973,6.9391,14.0894,80.0098,19.9542,2.4691,0.0159,6.7636
859,4.5,2.71,11.2701,6.9397,12.9366,85.1693,19.938,2.4888,0.0253,6.7646
858.5,4.5,2.71,11.3429,6.9416,10.8708,91.8925,19.8626,2.5241,0.0429,6.7659
858,4.5,2.71,11.4158,6.9415,9.0606,95.0483,19.8802,2.5551,0.0508,6.7649
857.5,4.5,2.71,11.4885,6.9401,8.2192,96.1071,19.9171,2.5695,0.0529,6.7627
857,4.5,2.71,11.5613,6.9402,8.1232,96.5814,19.9023,2.5711,0.0532,6.7611
856.5,4.5,2.71,11.634,6.9411,8.2968,97.9372,19.7425,2.5681,0.0495,6.7607
856,4.5,2.71,11.7068,6.9412,8.4393,98.539,19.3585,2.5657,0.0437,6.7629
855.5,4.5,2.71,11.7796,6.9412,8.4207,95.9,19.0051,2.566,0.0391,6.7636
855,4.5,2.71,11.8524,6.9405,8.2099,91.0426,18.7515,2.5696,0.0332,6.7631
854.5,4.5,2.71,11.9252,6.9399,7.6935,86.6031,18.6017,2.5784,0.0301,6.7629
854,4.5,2.71,11.9979,6.9398,6.8023,86.1906,18.5303,2.5937,0.0336,6.7633
853.5,4.5,2.71,12.0708,6.9397,5.8988,91.963,18.6086,2.6091,0.0414,6.7653
853,4.5,2.71,12.1436,6.9404,5.3474,97.0742,18.3093,2.6186,0.0426,6.7671
852.5,4.5,2.71,12.2165,6.9405,4.7544,92.6722,17.7599,2.6287,0.0262,6.7666
852,4.5,2.71,12.2893,6.9401,3.6716,88.7034,17.6118,2.6472,0.0176,6.766
851.5,4.5,2.71,12.3622,6.9402,2.7896,89.7546,17.4895,2.6623,0.0317,6.769
