DEPT,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
1004.0,4.5,2.71,9.7329,6.7398,27.9356,26.133,20.9306,2.2323,0.0238,6.8127
1003.5,4.5,2.71,9.8029,6.7393,27.8658,27.9848,20.5478,2.2335,0.0286,6.8133
1003.0,4.5,2.71,9.873,6.7403,27.2721,27.8485,20.2091,2.2436,0.032,6.815
1002.5,4.5,2.71,9.943,6.7415,26.3481,25.6575,20.0637,2.2594,0.0333,6.8144
1002.0,4.5,2.71,10.0131,6.7425,25.1971,24.134,19.9598,2.2791,0.0435,6.8129
1001.5,4.5,2.71,10.0831,6.7429,24.4428,22.8117,20.112,2.292,0.0572,6.8125
1001.0,4.5,2.71,10.1532,6.7422,24.779,21.8519,20.3239,2.2863,0.0521,6.8159
1000.5,4.5,2.71,10.2234,6.7416,25.7223,23.3828,20.2035,2.2701,0.0323,6.8205
1000.0,4.5,2.71,10.2936,6.7416,25.9094,26.1609,19.8767,2.267,0.033,6.8233
999.5,4.5,2.71,10.3638,6.7422,24.5967,28.2357,19.6186,2.2894,0.0413,6.8222
999.0,4.5,2.71,10.434,6.7447,22.1184,29.9251,19.6614,2.3318,0.0349,6.8185
998.5,4.5,2.71,10.5042,6.7456,20.0327,29.1003,20.004,2.3674,0.0441,6.8161
998.0,4.5,2.71,10.5743,6.7443,20.2803,27.2993,20.3259,2.3632,0.0594,6.8149
997.5,4.5,2.71,10.6444,6.7421,22.647,26.4161,20.5087,2.3227,0.0527,6.8162
997.0,4.5,2.71,10.7145,6.7412,24.9788,24.7104,20.5792,2.2829,0.0384,6.8174
996.5,4.5,2.71,10.7846,6.7422,25.9627,24.2531,20.3172,2.266,0.0269,6.8183
996.0,4.5,2.71,10.8548,6.7407,25.8174,24.699,19.9873,2.2685,0.0243,6.8188
995.5,4.5,2.71,10.9248,6.7381,25.2306,24.4606,20.0833,2.2786,0.0347,6.8191
995.0,4.5,2.71,10.9949,6.7367,24.9444,23.7197,20.392,2.2835,0.0432,6.8175
994.5,4.5,2.71,11.0649,6.7353,25.4525,23.0222,20.4166,2.2748,0.035,6.8185
994.0,4.5,2.71,11.1349,6.735,26.4069,24.1835,20.5406,2.2584,0.0229,6.8208
993.5,4.5,2.71,11.205,6.7357,27.0507,25.2147,20.8059,2.2474,0.0214,6.8214
993.0,4.5,2.71,11.2752,6.736,27.0613,23.3899,20.5713,2.2473,0.0294,6.8246
992.5,4.5,2.71,11.3454,6.7366,26.6045,22.629,19.97,2.2551,0.0393,6.828
992.0,4.5,2.71,11.4156,6.7368,26.1116,23.5914,19.6122,2.2635,0.0461,6.8276
991.5,4.5,2.71,11.4857,6.736,25.9855,24.2152,20.0314,2.2656,0.0442,6.8245
991.0,4.5,2.71,11.5558,6.736,26.1612,24.889,20.8401,2.2626,0.035,6.8226
990.5,4.5,2.71,11.6259,6.7363,26.0662,27.0677,21.2861,2.2643,0.0305,6.82
990.0,4.5,2.71,11.6959,6.736,25.2842,30.4852,21.4613,2.2776,0.0397,6.8187
989.5,4.5,2.71,11.766,6.7367,24.2471,33.0827,21.7577,2.2954,0.046,6.8201
989.0,4.5,2.71,11.8361,6.7373,23.8636,33.1113,22.0121,2.3019,0.0358,6.8193
988.5,4.5,2.71,11.9061,6.7375,24.3998,32.5768,22.123,2.2928,0.0145,6.8183
988.0,4.5,2.71,11.9762,6.739,25.303,34.0523,22.233,2.2773,0.0037,6.8206
987.5,4.5,2.71,12.0464,6.7403,26.1564,36.5803,22.6278,2.2627,0.0175,6.8196
987.0,4.5,2.71,12.1164,6.7385,27.0958,36.1119,22.7343,2.2467,0.0303,6.8165
986.5,4.5,2.71,12.1864,6.7359,28.1071,33.8636,22.3627,2.2294,0.0232,6.8151
986.0,4.5,2.71,12.2564,6.738,28.5587,34.3555,22.3655,2.2216,0.0079,6.8155
985.5,4.5,2.71,12.3265,6.7409,27.9343,34.6848,22.6178,2.2323,0.0046,6.8178
985.0,4.5,2.71,12.3967,6.7416,26.6918,33.0655,22.4935,2.2536,0.0141,6.821
984.5,4.5,2.71,12.4669,6.7419,25.6959,33.0474,22.1886,2.2706,0.0156,6.8222
984.0,4.5,2.71,12.5371,6.7425,25.03,34.7097,22.1228,2.282,0.0097,6.8222
983.5,4.5,2.71,12.6073,6.7434,24.3072,34.4262,22.0334,2.2943,0.0136,6.8224
983.0,4.5,2.71,12.6776,6.7444,23.7016,33.0897,22.024,2.3047,0.0313,6.8224
982.5,4.5,2.71,12.7479,6.7446,23.6247,31.9181,22.3778,2.306,0.0453,6.8227
982.0,4.5,2.71,12.8182,6.7461,23.7916,32.4108,22.5148,2.3032,0.0381,6.8231
981.5,4.5,2.71,12.8885,6.7473,23.4763,34.6521,21.8892,2.3086,0.0301,6.8238
981.0,4.5,2.71,12.9588,6.7461,22.5311,35.2284,20.9274,2.3247,0.0313,6.8229
980.5,4.5,2.71,13.029,6.7462,21.1208,34.8549,20.3565,2.3488,0.0318,6.8199
980.0,4.5,2.71,13.0993,6.7494,18.7639,34.0352,19.816,2.3891,0.0205,6.8196
979.5,4.5,2.71,13.1698,6.7541,14.9664,30.2841,19.3394,2.4541,0.0135,6.8207
979.0,4.5,2.71,13.2402,6.7571,10.8879,25.7211,19.0741,2.5238,0.0396,6.8192
978.5,4.5,2.71,13.3106,6.7567,9.0021,23.9757,18.6652,2.5561,0.0711,6.8207
978.0,4.5,2.71,13.3813,6.7562,10.3793,24.5645,18.4066,2.5325,0.0655,6.8316
977.5,4.5,2.71,13.4522,6.757,13.6255,25.5719,18.8235,2.477,0.0461,6.8427
977.0,4.5,2.71,13.5231,6.7558,17.1934,24.4697,19.432,2.416,0.0607,6.8462
976.5,4.5,2.71,13.594,6.7546,20.8061,22.6009,19.9316,2.3542,0.0626,6.851
976.0,4.5,2.71,13.6651,6.7549,23.8885,23.4424,20.2513,2.3015,0.0439,6.8543
975.5,4.5,2.71,13.7361,6.7551,25.3775,25.4072,19.9762,2.276,0.0415,6.8516
975.0,4.5,2.71,13.8071,6.7566,25.3245,26.2982,19.4232,2.277,0.0478,6.8504
974.5,4.5,2.71,13.8782,6.7577,24.7609,26.4312,19.1052,2.2866,0.0512,6.8536
974.0,4.5,2.71,13.9493,6.7586,24.39,24.8629,18.9169,2.2929,0.0529,6.8558
973.5,4.5,2.71,14.0205,6.7607,24.2399,23.9385,18.9558,2.2955,0.0524,6.8568
973.0,4.5,2.71,14.0918,6.7635,24.3346,23.1149,19.3968,2.2939,0.045,6.8582
972.5,4.5,2.71,14.1631,6.7654,24.8481,22.7738,19.7823,2.2851,0.0372,6.8596
