DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
551.5,129.8,6.91,6.97,129.02,7.7,7.08,705.1,32.89,27.5,-12.38,8.99,-2.42,0.07,2.24,2.28
552,140.45,6.86,6.97,130.26,7.12,7.03,719.69,29.13,18.3,-17.74,9.29,-2.05,0.05,2.4,2.5
552.5,142.4,6.86,6.97,124.32,7.02,7.24,734.08,25.48,13.34,-19.16,9.45,-2.49,0.02,2.48,2.98
553,135.48,6.86,6.97,115.76,7.38,7.7,746.09,22.55,11.79,-15.82,9.23,-3.35,0,2.51,3.4
553.5,120.76,6.86,6.97,109.02,8.28,8.59,746.28,21.53,11.3,-13.35,9.8,-4.42,0,2.52,3.36
554,103.23,6.86,6.97,103.78,9.69,10.23,746.63,21.45,10.3,-18.86,12.77,-5.82,0,2.53,3.15
554.5,86.9,6.86,6.97,90.6,11.51,13.06,739.5,20.17,7.52,-29.01,18.9,-7.72,0.02,2.58,3.17
555,71.48,6.86,6.97,65.92,13.99,17.53,744.21,15.24,4.67,-35.12,26.33,-9.97,0.02,2.63,3.41
555.5,58.44,6.86,6.97,44.55,17.11,23.3,738.34,9.77,2.55,-33.73,30.76,-12.21,0.03,2.67,3.65
556,48.01,6.86,6.97,33.95,20.83,28.64,732.69,6.72,1.7,-27.84,32.25,-14.02,0.02,2.68,3.88
556.5,41.17,6.86,6.97,31.17,24.29,31.58,715.79,5.66,1.19,-22.57,33.14,-15.04,0.02,2.69,4.09
557,37.89,6.86,6.97,33.6,26.39,31.9,710.15,5.49,0.71,-19.59,33.63,-15.3,0.02,2.7,4.33
557.5,37.3,6.86,6.97,36.27,26.81,30.58,713.77,5.31,0.75,-17.39,32.56,-15.25,0.01,2.7,4.5
558,38.51,6.86,6.97,35.36,25.97,28.78,729.68,5.25,0.97,-14.64,29.84,-15.29,0,2.69,4.44
558.5,40.64,6.86,6.97,34.48,24.61,27.31,743.21,5.78,1.42,-12.25,27.07,-15.46,0,2.69,4.38
559,42.89,6.86,6.97,37.34,23.32,26.58,753.32,6.82,2.13,-12.56,25.89,-15.62,0,2.67,4.31
559.5,44.63,6.86,6.97,42.38,22.4,26.52,757.13,7.22,3.32,-15.59,26.49,-15.82,0,2.65,4.33
560,45.73,6.86,6.97,47.68,21.87,26.71,765.69,6.89,4.35,-18.44,27.46,-15.99,0,2.64,4.47
560.5,46.02,6.86,6.97,48.67,21.73,26.7,767.55,6.54,5.17,-19.04,27.65,-16.07,-0.01,2.62,4.6
561,45.65,6.86,6.97,45.58,21.91,26.33,772.77,6.33,5.16,-17.53,26.99,-16.02,-0.01,2.62,4.7
561.5,45.09,6.86,6.97,46.78,22.18,25.68,781.73,6.56,4.31,-15.15,26.01,-15.99,0,2.64,4.62
562,45.06,6.86,6.97,51.15,22.19,24.84,794.79,7.1,3.13,-13.49,25.17,-16.1,0,2.66,4.31
562.5,45.73,6.86,6.97,52.02,21.87,23.82,806.76,7.35,2.73,-12.8,24.48,-16.19,0.01,2.66,4.22
563,47.29,6.86,6.97,48.57,21.14,22.6,808.4,7.32,4.23,-12.43,23.54,-16,0,2.64,4.34
563.5,49.89,6.86,6.97,50.3,20.04,21.21,806.93,7.48,5.67,-11.99,22.18,-15.54,0,2.61,4.37
564,53.55,6.86,6.97,61.46,18.68,19.77,799.87,8.1,6.93,-12.17,20.81,-15.06,-0.02,2.59,4.36
564.5,57.64,6.86,6.97,72.82,17.35,18.32,794.36,8.69,7.66,-12.83,19.66,-14.67,-0.02,2.58,4.28
565,61.3,6.86,6.97,75.58,16.31,17.02,779.56,9.33,7.68,-12.94,18.57,-14.3,-0.02,2.58,4.18
565.5,63.54,6.86,6.97,77.06,15.74,16.01,767.22,10.17,8.06,-11.54,17.45,-13.97,-0.02,2.57,4.1
566,63.74,6.86,6.97,79.59,15.69,15.52,754.55,10.74,8.86,-9.2,16.62,-13.74,-0.02,2.56,4
566.5,62.02,6.86,6.97,83.6,16.12,15.8,748.35,11.62,9.12,-7.73,16.58,-13.65,-0.01,2.55,3.86
567,58.99,6.86,6.97,91.69,16.95,17.2,740.45,12.3,8.44,-10.6,18.4,-13.74,0,2.57,3.84
